"","ppt","correct","n","group","test"
"1","A01",TRUE,12,"control","post"
"2","A02",TRUE,7,"control","post"
"3","A04",TRUE,6,"control","post"
"4","A05",TRUE,5,"control","post"
"5","A06",TRUE,5,"control","post"
"6","A07",TRUE,7,"control","post"
"7","B01",TRUE,12,"control","post"
"8","B02",TRUE,13,"control","post"
"9","B03",TRUE,7,"control","post"
"10","B04",TRUE,2,"control","post"
"11","B05",TRUE,7,"control","post"
"12","B06",TRUE,6,"control","post"
"13","B07",TRUE,11,"control","post"
"14","SO1",TRUE,6,"control","post"
"15","A01",TRUE,11,"control","pre"
"16","A02",TRUE,6,"control","pre"
"17","A03",TRUE,8,"control","pre"
"18","A04",TRUE,6,"control","pre"
"19","A05",TRUE,7,"control","pre"
"20","A06",TRUE,4,"control","pre"
"21","A07",TRUE,11,"control","pre"
"22","B01",TRUE,13,"control","pre"
"23","B02",TRUE,11,"control","pre"
"24","B03",TRUE,6,"control","pre"
"25","B04",TRUE,8,"control","pre"
"26","B05",TRUE,9,"control","pre"
"27","B06",TRUE,7,"control","pre"
"28","B07",TRUE,13,"control","pre"
"29","SO1",TRUE,6,"control","pre"
"30","A09",TRUE,9,"treatment","post"
"31","A10",TRUE,6,"treatment","post"
"32","B08",TRUE,4,"treatment","post"
"33","B09",TRUE,7,"treatment","post"
"34","B10",TRUE,2,"treatment","post"
"35","B11",TRUE,10,"treatment","post"
"36","B12",TRUE,6,"treatment","post"
"37","B13",TRUE,6,"treatment","post"
"38","J01",TRUE,9,"treatment","post"
"39","J02",TRUE,11,"treatment","post"
"40","J03",TRUE,8,"treatment","post"
"41","J04",TRUE,7,"treatment","post"
"42","J05",TRUE,8,"treatment","post"
"43","S02",TRUE,13,"treatment","post"
"44","a08",TRUE,8,"treatment","post"
"45","A08",TRUE,5,"treatment","pre"
"46","A09",TRUE,6,"treatment","pre"
"47","A10",TRUE,4,"treatment","pre"
"48","B08",TRUE,6,"treatment","pre"
"49","B09",TRUE,6,"treatment","pre"
"50","B10",TRUE,6,"treatment","pre"
"51","B11",TRUE,11,"treatment","pre"
"52","B12",TRUE,5,"treatment","pre"
"53","B13",TRUE,8,"treatment","pre"
"54","J01",TRUE,6,"treatment","pre"
"55","J02",TRUE,10,"treatment","pre"
"56","J03",TRUE,6,"treatment","pre"
"57","J04",TRUE,5,"treatment","pre"
"58","J05",TRUE,7,"treatment","pre"
"59","s02",TRUE,9,"treatment","pre"
